incident-number,address
E25040018295,"2400 4th Ave, San Diego, CA"
E25060021798,"3100 University Ave, San Diego, CA"
E25060043758,"4400 41st St, San Diego, CA"
E25030011048,"6000 Skyline Dr, San Diego, CA"
E25030020629,"3700 Florida St, San Diego, CA"
E25090020327,"4100 Governor Dr, San Diego, CA"
E25090024974,"4100 Governor Dr, San Diego, CA"
E25090025849,"5100 Trojan Ave, San Diego, CA"
E25050019878,"600 11th Ave, San Diego, CA"
E25050025903,"3000 5th Ave, San Diego, CA"
E25090038395,"2600 E St, San Diego, CA"
E25020003423,"4000 44th St, San Diego, CA"
E25020020885,"3700 Florida St, San Diego, CA"
